CladeA,CladeB,CladeC,CladeD,CladeE,CladeF,CladeG,CladeH,CladeI,,,,,,,,,,,,,,value,group
0.02417578,0.00990405,0.01561407,0.01554551,,0.48518322,,,,,,,,,,,,,,,,,0.02417578,A
0.02417578,0.00995221,0.02114126,0.01561797,,0.47164022,,,,,,,,,,,,,,,,,0.02417578,A
0.02417578,0.00995221,0.00510962,0.0156209,,0.51351275,,,,,,,,,,,,,,,,,0.02417578,A
0.01800761,0.00995221,0.01019111,0.0155465,,0.53004737,,,,,,,,,,,,,,,,,0.01800761,A
0.02417799,0.00990405,0.01039706,0.01554551,,0.49917672,,,,,,,,,,,,,,,,,0.02417799,A
0.02430232,0.00990346,0.0101915,0.01554551,,0.49853224,,,,,,,,,,,,,,,,,0.02430232,A
0.02430232,0.00994865,0.01019111,0.0156209,,0.48400343,,,,,,,,,,,,,,,,,0.02430232,A
0.0242963,0.00990405,0.0101915,0.01561797,,0.47451418,,,,,,,,,,,,,,,,,0.0242963,A
0.0242963,0.00995221,0.01039706,0.01554551,,0.45572754,,,,,,,,,,,,,,,,,0.0242963,A
0.01196364,0.00990346,0.01039352,0.0155465,,0.45342649,,,,,,,,,,,,,,,,,0.01196364,A
0.0181257,0.00994865,0.01019111,0.0155465,,0.46389593,,,,,,,,,,,,,,,,,0.0181257,A
0.0181257,0.00990405,0.01039352,0.01048657,,0.44040855,,,,,,,,,,,,,,,,,0.0181257,A
0.0181257,0.00495281,0.0101915,0.00515773,,0.47487009,,,,,,,,,,,,,,,,,0.0181257,A
0.02434282,0.00995361,0.01039706,0.01029183,,0.0218718,,,,,,,,,,,,,,,,,0.02434282,A
0.01201911,0.00989778,0.01027344,0.01554551,,0.3577016,,,,,,,,,,,,,,,,,0.01201911,A
0.01801372,0.01496568,0.01561407,0.02092252,,0.40043495,,,,,,,,,,,,,,,,,0.01801372,A
0.01801372,0.01488563,0.02114126,0.02087143,,0.38496692,,,,,,,,,,,,,,,,,0.01801372,A
0.01801372,0.01488563,0.00510962,0.02087435,,0.39551918,,,,,,,,,,,,,,,,,0.01801372,A
0.01201303,0.01488563,0.01019111,0.02092462,,0.40795446,,,,,,,,,,,,,,,,,0.01201303,A
0.01801368,0.01496568,0.01039706,0.02092252,,0.38466642,,,,,,,,,,,,,,,,,0.01801368,A
0.0183077,0.01496799,0.0101915,0.02092252,,0.38417265,,,,,,,,,,,,,,,,,0.0183077,A
0.0183077,0.01488615,0.01019111,0.02087435,,0.37128452,,,,,,,,,,,,,,,,,0.0183077,A
0.01830169,0.01496568,0.0101915,0.02087143,,0.40808572,,,,,,,,,,,,,,,,,0.01830169,A
0.01830169,0.01488563,0.01039706,0.01029183,,0.3576055,,,,,,,,,,,,,,,,,0.01830169,A
0.00596904,0.01496799,0.01039352,0.02092462,,0.35544367,,,,,,,,,,,,,,,,,0.00596904,A
0.01196364,0.01488615,0.01019111,0.02092462,,0.36510932,,,,,,,,,,,,,,,,,0.01196364,A
